params.alpha,params.loss,params.penalty,metrics.test_auc_score,metrics.test_ap_score
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5936347443989584,0.13119330137330193
0.01,hinge,l2,0.6903755541918788,0.18728058287953814
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5744731991652124,0.12392542082065358
0.01,log,l2,0.6928474504455281,0.18802194102833467
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6973546851809568,0.19330471966497834
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.6313411137659768,0.15121340522075727
0.01,squared_hinge,l2,0.6973546766862928,0.19330575729391106
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.6313411137659768,0.15121340522075727
0.01,perceptron,l2,0.6195101535019762,0.14214438998162154
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
0.0001,hinge,l2,0.6935927977481665,0.18862817044923713
0.0001,hinge,l1,0.6826691228138133,0.1841054783476929
0.0001,hinge,elasticnet,0.6943311709316675,0.1891759283085871
0.0001,log,l2,0.6996307199669456,0.1941436300951116
0.0001,log,l1,0.675155745416959,0.17948545650774855
0.0001,log,elasticnet,0.6980403489743882,0.19373599170066857
0.0001,modified_huber,l2,0.6695569591005713,0.17245514637090079
0.0001,modified_huber,l1,0.6494584906545104,0.1573948856142816
0.0001,modified_huber,elasticnet,0.6719008067892073,0.17367434614978647
0.0001,squared_hinge,l2,0.6038392993057481,0.1356732172004406
0.0001,squared_hinge,l1,0.5976021092590479,0.13288139846979496
0.0001,squared_hinge,elasticnet,0.6024177937386851,0.13499935729197937
0.0001,perceptron,l2,0.6032366878421651,0.1370826992907609
0.0001,perceptron,l1,0.595309446168295,0.13240484393690638
0.0001,perceptron,elasticnet,0.6039193954925274,0.13961379696668
0.001,hinge,l2,0.6960214306781052,0.1927353418293103
0.001,hinge,l1,0.6282327633074007,0.15087859594449282
0.001,hinge,elasticnet,0.6811776551941132,0.1832132682271267
0.001,log,l2,0.6974385275145566,0.19356038550251997
0.001,log,l1,0.5096544107353524,0.10827429326383202
0.001,log,elasticnet,0.6676020141188111,0.17423822849187756
0.001,modified_huber,l2,0.700118092818815,0.19464467905547267
0.001,modified_huber,l1,0.6464547689723222,0.16068047981637218
0.001,modified_huber,elasticnet,0.6930750522251943,0.19147667102670463
0.001,squared_hinge,l2,0.7001203269154448,0.1946483338954821
0.001,squared_hinge,l1,0.6368590096445017,0.15108525109254323
0.001,squared_hinge,elasticnet,0.6928194775170029,0.19127639487322867
0.001,perceptron,l2,0.6115534395913863,0.14275093331089303
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5800716372003762,0.12633288907721799
0.01,hinge,l2,0.6905714581328593,0.18779804205280132
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5898663075802304,0.12933795125964725
0.01,log,l2,0.6925521504411789,0.18800596705421735
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6966643238383377,0.19293511436131436
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.6376554735877111,0.1546962726166607
0.01,squared_hinge,l2,0.69666409448241,0.19293551191275507
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.6374976427307423,0.15456485678890955
0.01,perceptron,l2,0.6167788217153514,0.14456658727629174
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
0.0001,hinge,l2,0.7113756165427125,0.20182129304989335
0.0001,hinge,l1,0.6920021889050174,0.19103636473620852
